case_id,activity,timestamp,resource,duration_ms
INV-006,Factuur registreren,2024-01-10 11:15:00,tom.bakker,180000
INV-006,Bedrag controleren,2024-01-10 11:45:00,tom.bakker,420000
INV-006,Goedkeuring aanvragen,2024-01-10 12:30:00,tom.bakker,60000
INV-006,Goedkeuring geweigerd,2024-01-11 09:00:00,petra.vries,120000
INV-006,Leverancier gecontacteerd,2024-01-11 10:00:00,tom.bakker,1800000
INV-006,Factuur herzien,2024-01-13 09:00:00,tom.bakker,7200000
INV-006,Bedrag controleren,2024-01-13 11:00:00,tom.bakker,360000
INV-006,Goedkeuring aanvragen,2024-01-13 12:00:00,tom.bakker,60000
INV-006,Goedkeuring verleend,2024-01-14 10:00:00,mark.jansen,90000
INV-006,Betaling aanmaken,2024-01-14 10:30:00,tom.bakker,240000
INV-006,Betaling verstuurd,2024-01-14 13:00:00,systeem,1000
INV-007,Factuur ontvangen,2024-01-13 09:30:00,systeem,500
INV-007,Factuur registreren,2024-01-13 09:50:00,anne.smit,200000
INV-007,Bedrag controleren,2024-01-13 10:20:00,anne.smit,280000
INV-007,Goedkeuring aanvragen,2024-01-13 11:00:00,anne.smit,60000
INV-007,Goedkeuring verleend,2024-01-14 09:15:00,petra.vries,100000
INV-007,Betaling aanmaken,2024-01-14 09:30:00,anne.smit,210000
INV-007,Betaling verstuurd,2024-01-14 11:00:00,systeem,1000
INV-008,Factuur ontvangen,2024-01-14 08:00:00,systeem,500
INV-008,Factuur registreren,2024-01-14 08:25:00,tom.bakker,190000
INV-008,Bedrag controleren,2024-01-14 09:00:00,tom.bakker,540000
INV-008,Goedkeuring aanvragen,2024-01-14 10:00:00,tom.bakker,60000
INV-008,Goedkeuring verleend,2024-01-15 10:30:00,mark.jansen,110000
INV-008,Betaling aanmaken,2024-01-15 11:00:00,tom.bakker,260000
INV-008,Betaling verstuurd,2024-01-15 13:30:00,systeem,1000
INV-009,Factuur ontvangen,2024-01-15 10:00:00,systeem,500
INV-009,Factuur registreren,2024-01-15 10:15:00,anne.smit,130000
INV-009,Bedrag controleren,2024-01-15 10:35:00,anne.smit,290000
INV-009,Goedkeuring aanvragen,2024-01-15 11:10:00,anne.smit,60000
INV-009,Goedkeuring verleend,2024-01-16 09:00:00,petra.vries,95000
INV-009,Betaling aanmaken,2024-01-16 09:20:00,anne.smit,230000
INV-009,Betaling verstuurd,2024-01-16 11:30:00,systeem,1000
INV-010,Factuur ontvangen,2024-01-15 14:00:00,systeem,500
INV-010,Factuur registreren,2024-01-15 14:20:00,tom.bakker,160000
INV-010,Bedrag controleren,2024-01-15 14:45:00,tom.bakker,310000
INV-010,Leverancier gecontacteerd,2024-01-15 15:30:00,tom.bakker,900000
INV-010,Bedrag controleren,2024-01-16 09:00:00,tom.bakker,380000
INV-010,Goedkeuring aanvragen,2024-01-16 09:45:00,tom.bakker,60000
INV-010,Goedkeuring verleend,2024-01-17 10:00:00,mark.jansen,130000
INV-010,Betaling aanmaken,2024-01-17 10:30:00,tom.bakker,220000
INV-010,Betaling verstuurd,2024-01-17 13:00:00,systeem,1000
